Method,n_vars,DAG_type,SEM_type,Noise,Runtime_sec,SHD,SID,ATE_RMSE
GES,500,ER,linear,gaussian,1738.6939270496368,287,3324,0.13981840150780592
DAGBoost,500,ER,linear,gaussian,25.805694103240967,509,1000,0.05336731581870296
