Method,n_vars,DAG_type,SEM_type,Noise,Runtime_sec,SHD,SID,ATE_RMSE
SDCD,50,ER,linear,gaussian,225.81393814086914,44,76,0.1555936759175814
DAGBoost,50,ER,linear,gaussian,5.199881553649902,44,76,0.1555936759175814
SDCD,50,SF,linear,gaussian,242.8193542957306,63,160,0.36291693801872166
DAGBoost,50,SF,linear,gaussian,5.190731525421143,68,165,0.3656620077351278
