Method,n_vars,DAG_type,SEM_type,Noise,Runtime_sec,SHD,SID,ATE_RMSE
SAM,20,ER,linear,gaussian,396.8403413295746,21,40,0.17143263216254906
DAGBoost,20,ER,linear,gaussian,0.7562167644500732,380,340,0.21265760482290402
