Method,n_vars,DAG_type,SEM_type,Noise,Runtime_sec,SHD,SID,ATE_RMSE
PC,500,ER,linear,gaussian,2578.180652856827,828,3395,0.13556237754437148
DAGBoost,500,ER,linear,gaussian,77.99267077445984,496,1042,0.05686420101415879
